date,travel.state.gov,ustraveldocs,ds 160,ds-160,ds160
2005-03-09,13.44,0.0,0.0,0.0,0.0
2005-03-10,7.0,0.0,0.0,0.0,0.0
2005-03-11,14.56,0.0,0.0,0.0,0.26
2005-03-12,10.36,0.0,0.0,0.0,0.0
2005-03-13,0.0,0.0,0.0,0.0,0.0
2005-03-14,9.8,0.0,0.0,0.0,0.23
2005-03-15,11.2,0.0,0.0,0.0,0.0
2005-03-16,10.08,0.0,0.0,0.0,0.0
2005-03-17,13.72,0.0,0.0,0.0,0.0
2005-03-18,12.6,0.0,0.0,0.0,0.0
2005-03-19,10.92,0.0,0.0,0.0,0.0
2005-03-20,0.0,0.0,0.0,0.0,0.0
2005-03-21,9.24,0.0,0.0,0.0,0.0
2005-03-22,13.72,0.0,0.0,0.0,0.0
2005-03-23,14.0,0.0,0.0,0.0,0.0
2005-03-24,15.4,0.0,0.0,0.0,0.0
2005-03-25,14.0,0.0,0.0,0.0,0.0
2005-03-26,0.0,0.0,0.0,0.0,0.0
2005-03-27,11.2,0.0,0.0,0.0,0.0
2005-03-28,13.16,0.0,0.0,0.0,0.0
2005-03-29,0.0,0.0,0.0,0.0,0.0
2005-03-30,15.96,0.0,0.0,0.0,0.0
2005-03-31,14.28,0.0,0.0,0.0,0.0
2005-04-01,5.88,0.0,0.0,0.0,0.0
2005-04-02,12.88,0.0,0.0,0.0,0.0
2005-04-03,8.4,0.0,0.0,0.0,0.0
2005-04-04,0.0,0.0,0.0,0.0,0.0
2005-04-05,0.0,0.0,0.0,0.0,0.0
2005-04-06,8.96,0.0,0.0,0.0,0.0
2005-04-07,7.28,0.0,0.0,0.0,0.0
2005-04-08,11.48,0.0,0.0,0.0,0.21
2005-04-09,0.0,0.0,0.0,0.0,0.0
2005-04-10,16.24,0.0,0.0,0.0,0.0
2005-04-11,13.72,0.0,0.0,0.0,0.0
2005-04-12,13.44,0.0,0.0,0.0,0.0
2005-04-13,10.64,0.0,0.0,0.0,0.0
2005-04-14,16.24,0.0,0.0,0.0,0.0
2005-04-15,9.52,0.0,0.0,0.0,0.0
2005-04-16,8.68,0.0,0.0,0.0,0.3
2005-04-17,12.32,0.0,0.0,0.0,0.0
2005-04-18,5.04,0.0,0.0,0.0,0.0
2005-04-19,5.04,0.0,0.0,0.0,0.0
2005-04-20,5.04,0.0,0.0,0.0,0.0
2005-04-21,11.2,0.0,0.0,0.0,0.0
2005-04-22,11.76,0.0,0.0,0.0,0.0
2005-04-23,17.08,0.0,0.0,0.0,0.0
2005-04-24,8.12,0.0,0.0,0.0,0.0
2005-04-25,10.36,0.0,0.0,0.0,0.0
2005-04-26,10.08,0.0,0.0,0.0,0.0
2005-04-27,5.04,0.0,0.0,0.0,0.19
2005-04-28,8.68,0.0,0.0,0.0,0.0
2005-04-29,8.68,0.0,0.0,0.0,0.0
2005-04-30,8.4,0.0,0.0,0.0,0.0
2005-05-01,9.6,0.0,0.0,0.0,0.0
2005-05-02,6.08,0.0,0.0,0.0,0.0
2005-05-03,15.36,0.0,0.0,0.0,0.0
2005-05-04,11.84,0.0,0.0,0.0,0.0
2005-05-05,12.8,0.0,0.0,0.0,0.0
2005-05-06,32.0,0.0,0.0,0.0,0.0
